Tool,Baseline
0.000993048659384,0.00297914597815
0.000993048659384,0.000993048659384
0.000993048659384,0.000993048659384
0.0,0.00297914597815
0.000993048659384,0.000993048659384
0.000993048659384,0.000993048659384
0.000993048659384,0.000993048659384
0.00297914597815,0.000993048659384
0.0,0.00198609731877
0.000993048659384,0.000993048659384
0.0,0.000993048659384
0.000993048659384,0.000993048659384
0.000993048659384,0.000993048659384
0.00198609731877,0.0
0.000993048659384,0.000993048659384
0.000993048659384,0.000993048659384
0.00198609731877,0.000993048659384
0.00198609731877,0.000993048659384
0.000993048659384,0.000993048659384
0.0,0.000993048659384
0.000993048659384,0.000993048659384
0.000993048659384,0.000993048659384
0.0,0.000993048659384
0.00397219463754,0.000993048659384
0.000993048659384,0.000993048659384
0.000993048659384,0.000993048659384
0.000993048659384,0.000993048659384
0.0,0.000993048659384
0.000993048659384,0.0
0.000993048659384,0.000993048659384
